MATRICULA,NOME,REPROVACOES_DE,REPROVACOES_EM,REPROVACOES_MF,REPROVACOES_GO,NOTA_DE,NOTA_EM,NOTA_MF,NOTA_GO,INGLES,H_AULA_PRES,TAREFAS_ONLINE,FALTAS,PERFIL
520728,Ana,0,0,0,0,5.9,5.7,5.6,5.6,1.0,3,2,5,EXATAS
775472,Ana,1,1,1,1,0.0,0.0,0.0,0.0,0.0,6,0,3,DIFICULDADE
275380,Ana,0,0,0,0,4.7,5.9,5.0,4.5,1.0,5,1,7,DIFICULDADE
516894,Ana,1,1,1,1,0.0,0.0,0.0,-1.0,1.0,2,3,3,DIFICULDADE
420908,Ana,0,0,0,0,5.5,5.2,7.5,5.4,1.0,9,4,4,HUMANAS
546263,Ana,0,0,0,0,6.5,5.9,5.4,4.8,1.0,0,3,5,EXATAS
763764,Ana,0,0,1,1,4.7,5.1,0.0,0.0,1.0,3,3,5,DIFICULDADE
970726,Ana,0,0,0,0,5.5,6.2,6.0,5.8,1.0,5,6,6,EXATAS
950310,Ana,0,0,0,0,6.8,6.2,7.1,6.4,0.0,9,3,4,MUITO_BOM
610884,Ana,0,0,0,0,6.2,5.5,4.9,4.3,0.0,7,2,3,EXATAS
419994,Ana,0,0,0,0,6.5,6.7,7.3,5.3,0.0,3,0,3,HUMANAS
346568,Ana,0,0,0,0,6.2,6.2,4.8,6.0,0.0,10,5,1,DIFICULDADE
785039,Ana,0,0,0,0,6.0,5.3,4.9,5.0,1.0,1,2,6,DIFICULDADE
336386,Ana,0,0,0,0,4.9,5.2,5.5,5.7,1.0,0,2,1,EXATAS
472125,Ana,1,1,1,3,0.0,0.0,0.0,0.0,1.0,2,2,5,DIFICULDADE
120982,Ana,0,0,0,0,7.6,7.2,6.8,6.4,1.0,3,0,3,HUMANAS
173762,Ana,0,0,0,0,5.7,4.3,5.7,-1.0,1.0,0,0,8,EXATAS
133076,Ana,1,1,1,1,0.0,0.0,0.0,0.0,0.0,21,6,2,DIFICULDADE
244232,Ana,0,0,1,1,5.2,4.9,0.0,0.0,1.0,3,2,6,DIFICULDADE
432793,Ana,0,0,0,0,5.2,5.2,5.9,-1.0,-1.0,2,4,4,DIFICULDADE
727230,Ana,0,0,0,0,6.1,5.5,5.1,5.6,1.0,0,2,6,EXATAS
121294,Ana,0,0,0,0,7.4,6.6,5.7,-1.0,1.0,0,5,3,EXATAS
683121,Ana,0,0,0,0,6.8,7.4,8.7,7.6,-1.0,2,5,3,MUITO_BOM
232491,Ana,1,1,1,1,0.0,0.0,0.0,0.0,-1.0,1,0,6,DIFICULDADE
782070,Ana,0,0,0,0,6.4,5.5,4.9,6.2,1.0,5,0,3,DIFICULDADE
823254,Ana,0,0,0,0,6.0,5.8,4.9,-1.0,1.0,6,3,5,EXATAS
209033,Ana,0,0,0,0,6.5,6.0,6.9,6.2,0.0,8,0,1,HUMANAS
196963,Ana,0,0,0,0,6.1,5.8,5.3,-1.0,1.0,7,2,4,DIFICULDADE
321072,Ana,0,0,0,0,6.7,6.7,6.8,6.3,-1.0,4,3,4,HUMANAS
449186,Ana,0,0,0,0,6.6,4.7,5.6,4.4,1.0,1,3,5,EXATAS
354651,Ana,0,0,0,0,6.1,4.6,4.7,5.1,0.0,7,5,3,EXATAS
743378,Ana,0,0,0,0,6.1,6.5,4.6,5.0,1.0,0,2,3,EXATAS
481412,Ana,1,1,1,1,0.0,0.0,0.0,-1.0,-1.0,3,3,6,DIFICULDADE
176810,Ana,0,0,3,1,4.7,4.8,0.0,0.0,-1.0,3,5,5,DIFICULDADE
228605,Ana,0,0,0,0,6.2,6.0,4.9,6.3,1.0,3,2,2,EXATAS
748596,Ana,0,0,0,0,7.5,7.3,8.1,6.0,0.0,4,5,3,HUMANAS
916770,Ana,0,0,0,0,7.1,6.2,7.7,-1.0,0.0,2,5,3,HUMANAS
458344,Ana,0,0,0,0,7.6,7.7,7.9,-1.0,1.0,17,7,2,MUITO_BOM
349438,Ana,0,0,0,0,5.7,5.6,5.2,5.7,1.0,2,5,3,DIFICULDADE
572626,Ana,0,0,0,0,5.2,5.0,4.6,5.0,0.0,4,0,4,EXATAS
694666,Ana,0,0,0,0,6.4,5.9,6.5,4.7,1.0,9,2,3,EXATAS
705401,Ana,0,0,0,0,7.1,6.5,5.9,-1.0,0.0,4,3,6,EXATAS
652794,Ana,0,0,0,0,7.1,7.0,8.3,7.8,0.0,5,4,2,HUMANAS
997787,Ana,0,0,0,0,5.9,6.4,7.5,4.6,1.0,5,2,4,MUITO_BOM
384711,Ana,1,1,1,1,0.0,0.0,0.0,0.0,0.0,7,7,4,DIFICULDADE
545750,Ana,0,0,0,0,7.1,7.3,7.3,7.1,0.0,4,5,3,HUMANAS
148616,Ana,1,3,3,1,0.0,0.0,0.0,0.0,1.0,5,3,5,DIFICULDADE
794432,Ana,0,0,0,0,6.3,5.3,6.7,5.9,-1.0,3,2,6,HUMANAS
754217,Ana,1,1,1,1,0.0,0.0,0.0,0.0,1.0,5,5,5,DIFICULDADE
771850,Ana,1,1,1,3,0.0,0.0,0.0,0.0,-1.0,2,1,5,DIFICULDADE
410346,Ana,0,0,0,0,5.4,6.2,5.3,4.6,1.0,2,3,5,DIFICULDADE
259804,Ana,0,0,0,0,6.3,4.9,6.7,6.3,1.0,3,4,3,HUMANAS
824374,Ana,0,0,0,0,6.6,6.1,6.0,-1.0,-1.0,4,4,3,EXATAS
122981,Ana,0,0,0,0,6.5,4.3,5.8,5.9,1.0,3,5,6,EXATAS
563881,Ana,0,0,0,0,5.5,6.2,5.3,5.3,1.0,5,3,7,EXATAS
790640,Ana,0,0,0,0,7.1,6.4,6.4,-1.0,1.0,5,2,6,EXATAS
366054,Ana,0,0,0,0,5.8,5.8,4.9,5.3,1.0,2,5,3,EXATAS
946190,Ana,1,1,1,1,0.0,0.0,0.0,0.0,0.0,3,1,7,DIFICULDADE
633420,Ana,0,0,0,0,6.6,6.0,5.3,5.3,0.0,2,0,8,EXATAS
974420,Ana,1,1,1,1,0.0,0.0,0.0,0.0,-1.0,7,5,3,DIFICULDADE
681625,Ana,0,0,0,0,5.4,5.8,5.5,4.4,1.0,3,2,5,DIFICULDADE
179657,Ana,1,1,1,1,0.0,0.0,0.0,0.0,0.0,2,0,8,DIFICULDADE
420374,Ana,0,0,0,0,6.9,7.4,6.9,5.7,-1.0,13,6,3,HUMANAS
527716,Ana,0,0,0,0,7.9,7.2,9.4,7.9,1.0,12,5,4,EXCELENTE
238401,Ana,1,1,3,3,0.0,0.0,0.0,0.0,1.0,4,5,6,DIFICULDADE
276270,Ana,0,0,0,0,6.7,6.9,8.8,7.2,0.0,14,6,2,HUMANAS
656672,Ana,0,0,0,0,6.2,5.6,5.6,5.8,1.0,2,1,6,EXATAS
920238,Ana,0,0,0,0,6.9,7.2,6.2,5.3,1.0,2,5,5,EXATAS
981095,Ana,0,0,0,0,7.2,7.1,7.7,5.8,0.0,5,2,3,HUMANAS
430665,Ana,0,0,0,0,5.8,4.9,5.4,4.6,1.0,1,2,6,DIFICULDADE
274035,Ana,0,0,0,0,7.2,7.1,6.5,-1.0,0.0,8,4,5,EXATAS
865260,Ana,0,0,1,1,4.9,5.4,0.0,0.0,0.0,3,0,8,DIFICULDADE
665507,Ana,1,1,1,1,0.0,0.0,0.0,0.0,0.0,2,3,4,DIFICULDADE
248106,Ana,1,1,1,1,0.0,0.0,0.0,0.0,1.0,3,0,6,DIFICULDADE
854815,Ana,0,0,0,0,6.1,6.9,7.6,-1.0,0.0,5,3,5,HUMANAS
256055,Ana,0,0,0,0,5.5,6.6,7.6,5.8,-1.0,7,0,3,HUMANAS
917746,Ana,0,0,0,0,6.5,7.1,6.8,7.0,0.0,3,4,4,HUMANAS
859689,Ana,0,0,0,0,4.3,5.9,6.9,5.5,-1.0,4,0,4,HUMANAS
983487,Ana,0,0,0,0,6.3,5.2,6.9,5.2,1.0,5,3,3,HUMANAS
720646,Ana,0,0,0,0,6.5,5.1,5.3,5.2,1.0,2,3,5,EXATAS
446070,Ana,1,1,1,1,0.0,0.0,0.0,0.0,1.0,1,3,6,DIFICULDADE
171680,Ana,1,3,1,3,0.0,0.0,0.0,0.0,0.0,5,4,5,DIFICULDADE
894529,Ana,1,3,3,3,0.0,0.0,0.0,0.0,-1.0,4,5,3,DIFICULDADE
116148,Ana,0,0,0,0,6.5,6.2,5.7,4.9,1.0,4,4,4,EXATAS
444277,Ana,0,0,0,0,5.8,5.6,6.4,5.5,0.0,4,4,3,DIFICULDADE
498557,Ana,0,0,0,0,5.8,5.2,5.6,5.0,1.0,2,2,3,EXATAS
388985,Ana,0,0,0,0,6.4,6.7,5.0,5.5,-1.0,3,0,8,EXATAS
814672,Ana,0,0,0,0,6.5,5.6,6.6,6.1,1.0,0,2,5,HUMANAS
782898,Ana,0,0,1,1,6.8,6.1,0.0,0.0,1.0,4,5,3,DIFICULDADE
531945,Ana,0,0,0,0,5.1,4.5,4.5,4.5,-1.0,3,5,3,DIFICULDADE
357174,Ana,0,0,0,0,6.8,6.5,7.3,5.0,1.0,4,6,4,HUMANAS
808430,Ana,1,1,1,1,0.0,0.0,0.0,-1.0,1.0,8,0,3,DIFICULDADE
664269,Ana,1,1,3,3,0.0,0.0,0.0,0.0,1.0,3,4,3,DIFICULDADE
453165,Ana,0,0,1,1,4.9,5.2,0.0,0.0,1.0,3,2,6,DIFICULDADE
678364,Ana,0,0,0,0,5.8,5.5,4.9,5.3,1.0,8,2,6,DIFICULDADE
342822,Ana,0,0,0,0,6.4,5.7,6.8,-1.0,1.0,3,3,5,HUMANAS
562494,Ana,0,0,0,0,7.1,7.5,6.6,6.5,1.0,6,4,6,MUITO_BOM
278495,Ana,0,0,0,0,5.3,6.2,5.7,5.4,1.0,16,0,1,EXATAS
957837,Ana,0,0,0,0,6.9,6.6,5.6,-1.0,1.0,4,0,8,EXATAS
769531,Ana,0,0,0,0,6.5,6.7,5.4,5.1,-1.0,2,2,6,EXATAS
741916,Ana,0,0,0,0,6.1,5.9,7.0,5.3,1.0,5,5,3,HUMANAS
682048,Ana,0,0,0,0,6.0,5.4,6.7,4.6,-1.0,5,5,4,DIFICULDADE
656192,Ana,0,0,0,0,6.4,5.8,6.0,6.1,-1.0,2,2,5,EXATAS
143151,Ana,1,1,1,1,0.0,0.0,0.0,-1.0,1.0,1,2,6,DIFICULDADE
311948,Ana,0,0,0,0,6.4,5.8,5.4,-1.0,1.0,3,2,6,DIFICULDADE
489139,Ana,0,0,0,0,5.5,5.5,5.5,5.3,1.0,13,2,3,EXATAS
153614,Ana,3,3,1,1,0.0,0.0,0.0,0.0,-1.0,3,5,4,DIFICULDADE
721684,Ana,0,0,0,0,6.7,6.8,5.6,6.2,0.0,5,1,7,EXATAS
264469,Ana,0,0,0,0,6.4,7.1,5.3,6.5,0.0,8,5,3,EXATAS
447338,Ana,0,0,0,0,7.1,6.9,5.6,-1.0,1.0,5,7,3,EXATAS
405545,Ana,1,3,1,1,0.0,0.0,0.0,0.0,1.0,3,1,3,DIFICULDADE
466888,Ana,0,0,0,0,6.2,5.6,5.4,6.0,1.0,5,2,3,EXATAS
313990,Ana,0,0,0,0,5.6,5.1,5.1,5.3,-1.0,2,1,7,EXATAS
600677,Ana,0,0,0,0,5.8,6.8,6.3,5.5,0.0,3,6,3,EXATAS
365884,Ana,0,0,0,0,6.6,7.2,6.1,7.1,0.0,5,5,2,EXATAS
896512,Ana,0,0,0,0,5.9,6.0,6.0,-1.0,1.0,5,0,6,DIFICULDADE
242935,Ana,0,0,0,0,5.8,6.9,5.1,7.1,1.0,2,2,5,EXATAS
215443,Ana,0,0,0,0,6.3,5.1,6.2,5.2,1.0,6,5,2,EXATAS
479858,Ana,0,0,0,0,5.3,4.2,5.7,4.6,0.0,4,2,5,DIFICULDADE
182198,Ana,0,0,0,0,5.6,5.3,4.6,5.6,0.0,4,2,6,DIFICULDADE
751223,Ana,0,0,0,0,6.1,6.3,5.1,5.4,1.0,2,4,4,EXATAS
316438,Ana,0,0,0,0,7.3,7.3,7.4,6.4,1.0,5,4,5,MUITO_BOM
578987,Ana,0,0,1,1,6.7,6.7,0.0,0.0,1.0,2,0,3,DIFICULDADE
687092,Ana,0,0,0,0,6.0,5.6,6.3,5.6,-1.0,4,3,3,EXATAS
928838,Ana,0,0,0,0,5.1,5.5,5.0,-1.0,1.0,3,1,3,DIFICULDADE
449477,Ana,0,0,0,0,8.6,8.3,8.8,-1.0,0.0,17,6,1,EXCELENTE
297474,Ana,0,0,0,0,7.3,7.0,8.5,-1.0,1.0,5,2,1,HUMANAS
223963,Ana,0,0,0,0,4.8,6.0,4.7,-1.0,1.0,2,0,8,EXATAS
572706,Ana,0,0,0,0,6.8,5.8,5.4,-1.0,1.0,3,4,4,EXATAS
819040,Ana,0,0,0,0,5.6,5.9,4.9,5.4,0.0,3,2,3,DIFICULDADE
916699,Ana,3,1,1,1,0.0,0.0,0.0,0.0,1.0,6,2,6,DIFICULDADE
275950,Ana,0,0,0,0,7.4,8.1,6.4,7.2,1.0,3,5,1,EXATAS
111466,Ana,0,0,0,0,5.8,5.6,4.8,4.8,-1.0,2,2,5,DIFICULDADE
988513,Ana,0,0,0,0,6.4,5.9,5.4,-1.0,1.0,2,3,5,EXATAS
274830,Ana,0,0,0,0,6.2,5.9,5.9,4.9,1.0,3,2,4,DIFICULDADE
589648,Ana,1,1,3,1,0.0,0.0,0.0,0.0,-1.0,14,2,1,DIFICULDADE
189509,Ana,0,0,0,0,6.8,6.4,5.9,6.1,-1.0,12,5,3,EXATAS
380169,Ana,1,1,1,1,0.0,0.0,0.0,0.0,1.0,4,2,6,DIFICULDADE
805664,Ana,0,0,0,0,6.1,6.0,6.2,5.9,1.0,5,1,6,EXATAS
609915,Ana,0,0,0,0,7.3,7.7,8.2,8.0,0.0,10,5,3,HUMANAS
782851,Ana,0,0,0,0,6.3,6.6,5.6,5.5,0.0,1,2,7,EXATAS
683384,Ana,0,0,0,0,7.1,6.0,6.7,6.6,0.0,11,5,3,HUMANAS
751466,Ana,0,0,0,0,6.0,5.9,5.9,5.2,0.0,2,2,3,DIFICULDADE
223470,Ana,0,0,0,0,6.4,6.4,5.6,5.8,-1.0,2,4,5,EXATAS
919882,Ana,0,0,0,0,7.3,7.4,6.7,6.5,0.0,13,5,4,HUMANAS
509816,Ana,0,0,0,0,6.7,6.4,4.8,5.6,-1.0,4,2,3,EXATAS
499936,Ana,0,0,3,1,4.8,5.2,0.0,-1.0,1.0,2,5,4,DIFICULDADE
686972,Ana,0,0,0,0,6.4,5.4,4.5,4.9,1.0,4,5,3,EXATAS
562624,Ana,0,0,0,0,6.4,5.9,6.9,-1.0,1.0,3,2,3,HUMANAS
627850,Ana,0,0,0,0,7.9,8.1,7.2,6.6,1.0,4,0,3,HUMANAS
281174,Ana,1,1,1,1,0.0,0.0,0.0,0.0,1.0,8,5,3,DIFICULDADE
806648,Ana,0,0,0,0,4.6,5.3,6.7,4.6,1.0,9,2,2,DIFICULDADE
338318,Ana,0,0,0,0,5.4,4.6,5.3,5.7,1.0,2,0,3,DIFICULDADE
882962,Ana,0,0,0,0,6.4,6.3,7.4,-1.0,0.0,3,2,6,HUMANAS
971089,Ana,0,0,0,0,7.1,6.5,5.3,6.2,0.0,2,2,6,EXATAS
621598,Ana,1,1,1,1,0.0,0.0,0.0,0.0,1.0,2,2,6,DIFICULDADE
611915,Ana,0,0,0,0,6.9,6.6,6.1,-1.0,0.0,5,0,4,EXATAS
160124,Ana,0,0,0,0,7.1,7.3,6.2,6.2,0.0,3,2,4,EXATAS
945283,Ana,0,0,0,0,5.3,5.7,5.5,5.5,0.0,5,2,4,EXATAS
669589,Ana,0,0,0,0,7.5,7.0,6.9,5.8,0.0,17,6,2,HUMANAS
918460,Ana,0,0,1,1,5.1,5.3,0.0,0.0,1.0,9,2,6,EXATAS
454461,Ana,0,0,0,0,6.9,4.6,5.4,5.4,-1.0,3,0,4,DIFICULDADE
122467,Ana,0,0,0,0,7.0,7.7,6.8,-1.0,1.0,3,5,3,MUITO_BOM
491025,Ana,1,1,1,1,0.0,0.0,0.0,0.0,1.0,2,2,6,DIFICULDADE
670349,Ana,0,0,0,0,5.4,5.3,5.0,5.6,1.0,3,4,4,DIFICULDADE
655352,Ana,0,0,0,0,7.8,7.9,8.7,7.7,1.0,5,2,2,EXCELENTE
561340,Ana,0,0,0,0,6.8,7.0,7.4,5.7,1.0,2,2,5,HUMANAS
697547,Ana,0,0,0,0,7.1,7.1,7.3,-1.0,0.0,16,5,2,MUITO_BOM
685831,Ana,1,1,1,1,0.0,0.0,0.0,0.0,0.0,3,0,3,DIFICULDADE
225253,Ana,0,0,0,0,7.8,7.8,7.6,7.1,-1.0,11,5,4,HUMANAS
355318,Ana,0,0,0,0,6.5,7.2,7.3,-1.0,0.0,7,2,5,HUMANAS
585214,Ana,0,0,0,0,6.0,6.2,4.8,5.5,-1.0,2,4,4,EXATAS
644221,Ana,0,0,0,0,6.9,7.7,6.5,-1.0,-1.0,3,3,2,EXATAS
511995,Ana,0,0,0,0,7.6,7.7,7.7,7.0,1.0,4,4,3,EXCELENTE
519316,Ana,0,0,0,0,6.9,7.2,5.3,6.4,0.0,11,4,2,EXATAS
767433,Ana,0,0,0,0,6.7,5.7,5.7,-1.0,0.0,18,7,2,EXATAS
719557,Ana,1,3,1,1,0.0,0.0,0.0,0.0,1.0,4,2,3,DIFICULDADE
540695,Ana,1,1,1,3,0.0,0.0,0.0,0.0,1.0,4,2,4,DIFICULDADE
721876,Ana,0,0,0,0,6.6,6.4,4.7,-1.0,0.0,3,2,6,EXATAS
732599,Ana,0,0,0,0,6.3,5.5,6.9,6.2,0.0,3,2,4,DIFICULDADE
302890,Ana,3,1,3,3,0.0,0.0,0.0,-1.0,-1.0,3,3,3,DIFICULDADE
239351,Ana,1,1,1,3,0.0,0.0,0.0,0.0,1.0,3,0,3,DIFICULDADE
944997,Ana,3,1,3,1,0.0,0.0,0.0,0.0,1.0,2,1,7,DIFICULDADE
498264,Ana,0,0,0,0,6.7,6.9,7.2,6.4,0.0,7,2,5,HUMANAS
641096,Ana,0,0,0,0,7.1,6.9,7.1,6.4,0.0,12,6,3,HUMANAS
625232,Ana,0,0,0,0,6.1,5.4,7.0,5.2,0.0,2,2,3,HUMANAS
920941,Ana,0,0,0,0,7.2,7.3,7.1,6.3,0.0,6,5,3,HUMANAS
502417,Ana,0,0,0,0,6.2,6.5,7.0,-1.0,0.0,4,0,4,HUMANAS
971180,Ana,0,0,0,0,6.7,5.9,5.5,-1.0,1.0,4,0,8,EXATAS
588440,Ana,0,0,0,0,6.7,7.2,5.2,-1.0,1.0,5,0,5,EXATAS
164129,Ana,0,0,0,0,6.0,5.5,5.1,4.3,0.0,3,5,3,DIFICULDADE
136659,Ana,1,3,1,1,0.0,0.0,0.0,-1.0,1.0,3,2,4,DIFICULDADE
241606,Ana,0,0,0,0,6.3,4.8,5.5,4.8,1.0,2,5,3,EXATAS
581551,Ana,0,0,0,0,6.9,7.0,6.2,6.4,1.0,3,2,3,EXATAS
698238,Ana,1,1,1,3,0.0,0.0,0.0,0.0,0.0,9,4,3,DIFICULDADE
682719,Ana,0,0,0,0,6.0,5.3,6.4,-1.0,1.0,2,3,4,EXATAS
727213,Ana,0,0,1,1,6.1,5.8,0.0,0.0,0.0,4,3,2,DIFICULDADE
361781,Ana,0,0,0,0,6.9,6.7,6.4,-1.0,1.0,5,5,3,EXATAS
405514,Ana,0,0,0,0,5.1,7.2,5.6,7.3,-1.0,4,6,3,EXATAS
462899,Ana,1,1,1,1,0.0,0.0,0.0,0.0,0.0,4,2,6,DIFICULDADE
758626,Ana,0,0,0,0,6.1,4.9,4.7,-1.0,1.0,4,5,5,EXATAS
948921,Ana,0,0,0,0,6.3,6.6,5.5,-1.0,1.0,9,5,1,EXATAS
268987,Ana,0,0,0,0,5.2,4.8,5.8,6.3,1.0,0,3,6,EXATAS
911780,Ana,1,1,3,1,0.0,0.0,0.0,0.0,1.0,8,2,6,DIFICULDADE
116766,Ana,0,0,0,0,6.9,6.6,5.7,6.1,0.0,5,5,1,EXATAS
791456,Ana,0,0,0,0,6.3,6.7,5.4,5.8,1.0,2,4,6,EXATAS
686762,Ana,0,0,0,0,5.4,5.2,4.9,5.7,-1.0,5,3,5,DIFICULDADE
498936,Ana,0,0,0,0,6.5,6.2,5.0,-1.0,0.0,2,3,5,EXATAS
776246,Ana,0,0,0,0,5.6,6.7,6.7,5.1,1.0,3,2,4,HUMANAS
807756,Ana,0,0,0,0,6.9,6.5,5.3,6.0,1.0,2,5,2,EXATAS
696588,Ana,0,0,0,0,7.1,7.0,5.0,6.5,-1.0,10,4,4,EXATAS
645216,Ana,0,0,0,0,6.2,5.7,5.1,4.3,1.0,5,5,3,EXATAS
895682,Ana,0,0,0,0,6.7,6.8,5.0,4.8,1.0,4,2,3,EXATAS
784479,Ana,0,0,0,0,7.4,7.0,6.6,-1.0,1.0,17,3,5,MUITO_BOM
818775,Ana,1,1,1,1,0.0,0.0,0.0,0.0,1.0,4,3,4,DIFICULDADE
832418,Ana,0,0,0,0,5.2,5.8,6.4,-1.0,1.0,3,0,4,EXATAS
113932,Ana,0,0,0,0,5.5,6.0,4.8,4.9,1.0,5,4,3,DIFICULDADE
797286,Ana,1,1,1,1,0.0,0.0,0.0,0.0,0.0,4,0,4,DIFICULDADE
543341,Ana,0,0,0,0,5.1,5.4,4.5,4.7,1.0,2,4,3,DIFICULDADE
120041,Ana,0,0,0,0,6.0,6.2,7.5,6.1,0.0,3,1,6,HUMANAS
904726,Ana,0,0,0,0,6.7,6.4,5.8,5.2,0.0,3,0,8,EXATAS
700098,Ana,3,1,1,1,0.0,0.0,0.0,0.0,0.0,9,5,3,DIFICULDADE
387834,Ana,0,0,0,0,5.7,5.9,5.5,5.1,0.0,3,2,4,DIFICULDADE
463676,Ana,1,3,3,3,0.0,0.0,0.0,-1.0,1.0,5,0,8,DIFICULDADE
117279,Ana,0,0,0,0,6.5,5.9,6.6,5.3,0.0,8,4,2,EXATAS
664807,Ana,0,0,0,0,6.6,6.2,4.7,-1.0,-1.0,4,0,2,EXATAS
882587,Ana,1,1,1,1,0.0,0.0,0.0,0.0,1.0,3,0,3,DIFICULDADE
136830,Ana,0,0,0,0,6.5,6.3,7.7,-1.0,-1.0,7,5,2,HUMANAS
885800,Ana,0,0,0,0,5.7,6.4,5.0,5.4,0.0,5,5,3,EXATAS
926269,Ana,1,1,3,1,0.0,0.0,0.0,0.0,1.0,12,5,4,DIFICULDADE
733926,Ana,1,3,1,1,0.0,0.0,0.0,-1.0,1.0,3,5,3,DIFICULDADE
104208,Ana,0,0,0,0,6.8,5.5,5.1,6.2,1.0,7,2,6,EXATAS
412164,Ana,0,0,0,0,6.1,6.6,5.7,-1.0,0.0,3,4,3,EXATAS
803357,Ana,0,0,0,0,5.6,6.1,5.9,4.5,1.0,4,3,3,DIFICULDADE
769242,Ana,0,0,0,0,6.1,6.0,5.5,5.6,1.0,3,2,3,EXATAS
829244,Ana,0,0,0,0,7.2,7.2,7.8,7.0,0.0,10,7,1,MUITO_BOM
758685,Ana,0,0,0,0,6.6,6.7,5.1,6.1,1.0,3,2,6,EXATAS
502082,Ana,0,0,0,0,6.7,6.7,6.7,5.7,1.0,5,4,6,HUMANAS
465299,Ana,0,0,0,0,7.1,7.0,5.8,-1.0,1.0,4,3,4,EXATAS
872882,Ana,0,0,0,0,6.0,5.8,7.3,-1.0,1.0,2,2,4,HUMANAS
